time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.005000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.100000,-0.100000
0.010000,-0.000000,-0.000001,-0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,-0.000000,0.000000,0.100000,-0.100000
0.015000,0.000002,-0.000003,-0.000009,0.000004,0.000008,0.000008,0.000000,0.000002,-0.000005,0.000001,0.100000,-0.100000
0.020000,0.000006,-0.000006,-0.000020,0.000006,0.000020,0.000018,-0.000003,0.000000,-0.000013,0.000002,0.100000,-0.100000
0.025000,0.000013,-0.000007,-0.000051,0.000007,0.000051,0.000044,-0.000015,-0.000009,-0.000035,0.000001,0.100000,-0.100000
0.030000,0.000017,-0.000005,-0.000083,0.000008,0.000082,0.000067,-0.000029,-0.000021,-0.000058,-0.000003,0.100000,-0.100000
0.035000,0.000020,0.000004,-0.000150,0.000006,0.000141,0.000109,-0.000056,-0.000050,-0.000107,-0.000014,0.100000,-0.100000
0.040000,0.000023,0.000014,-0.000209,0.000001,0.000188,0.000136,-0.000073,-0.000080,-0.000148,-0.000027,0.100000,-0.100000
0.045000,0.000032,0.000038,-0.000319,-0.000014,0.000271,0.000168,-0.000096,-0.000142,-0.000220,-0.000056,0.100000,-0.100000
0.050000,0.000044,0.000061,-0.000405,-0.000029,0.000338,0.000182,-0.000107,-0.000194,-0.000270,-0.000082,0.100000,-0.100000
0.055000,0.000073,0.000104,-0.000549,-0.000060,0.000456,0.000189,-0.000117,-0.000287,-0.000340,-0.000130,0.100000,-0.100000
0.060000,0.000102,0.000138,-0.000649,-0.000083,0.000545,0.000186,-0.000120,-0.000361,-0.000377,-0.000167,0.100000,-0.100000
0.065000,0.000161,0.000198,-0.000798,-0.000115,0.000691,0.000175,-0.000121,-0.000489,-0.000413,-0.000227,0.100000,-0.100000
0.070000,0.000212,0.000243,-0.000889,-0.000132,0.000792,0.000163,-0.000118,-0.000586,-0.000423,-0.000270,0.100000,-0.100000
0.075000,0.000302,0.000323,-0.001007,-0.000148,0.000944,0.000137,-0.000106,-0.000748,-0.000420,-0.000332,0.100000,-0.100000
0.080000,0.000368,0.000385,-0.001067,-0.000153,0.001041,0.000112,-0.000092,-0.000865,-0.000406,-0.000371,0.100000,-0.100000
0.085000,0.000472,0.000493,-0.001129,-0.000153,0.001177,0.000069,-0.000063,-0.001045,-0.000370,-0.000423,0.100000,-0.100000
0.090000,0.000544,0.000574,-0.001153,-0.000149,0.001254,0.000040,-0.000042,-0.001165,-0.000340,-0.000453,0.100000,-0.100000
0.095000,0.000655,0.000703,-0.001170,-0.000137,0.001344,0.000001,-0.000012,-0.001341,-0.000294,-0.000491,0.100000,-0.100000
0.100000,0.000725,0.000792,-0.001174,-0.000126,0.001386,-0.000021,0.000007,-0.001451,-0.000268,-0.000512,0.100000,-0.100000
0.105000,0.000826,0.000926,-0.001173,-0.000103,0.001423,-0.000049,0.000038,-0.001600,-0.000238,-0.000537,0.100000,-0.100000
